# The gdbstub register NAME -> generic wire register map for aarch64.
#
# name<TAB>generic<TAB>ground.  This is the SECOND namespace: the spelling
# qemu_plugin_get_registers() hands a plugin, which is the namespace a VALUE
# READ resolves through.  It is not the TCG-global namespace aarch64.tsv
# carries, and the two disagree on real registers -- which is the whole reason
# both exist.
#
# The names are not chosen here: scripts/cst-regmap.py --namespace gdb reads
# them out of the target's own CORE feature XML and REFUSES to generate if
# this file is short a name or carries one the feature never declares.
#
# A row whose ground begins "incumbent:" was already adjudicated on the
# Capstone-era per-ISA table, which keyed its value-read route on this same
# gdb (feature, name) pair; those rows carry that adjudication forward
# unchanged so E1's deletion of that table loses nothing.

cpsr	REG_FLAGS	incumbent: the per-ISA table routed this gdb name here
v12	REG_VEC12	route: the incumbent per-ISA table routed REG_VEC12 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z12 and declines below
v13	REG_VEC13	route: the incumbent per-ISA table routed REG_VEC13 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z13 and declines below
v14	REG_VEC14	route: the incumbent per-ISA table routed REG_VEC14 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z14 and declines below
v15	REG_VEC15	route: the incumbent per-ISA table routed REG_VEC15 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z15 and declines below
v16	REG_VEC16	route: the incumbent per-ISA table routed REG_VEC16 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z16 and declines below
v17	REG_VEC17	route: the incumbent per-ISA table routed REG_VEC17 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z17 and declines below
v18	REG_VEC18	route: the incumbent per-ISA table routed REG_VEC18 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z18 and declines below
v19	REG_VEC19	route: the incumbent per-ISA table routed REG_VEC19 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z19 and declines below
v20	REG_VEC20	route: the incumbent per-ISA table routed REG_VEC20 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z20 and declines below
v21	REG_VEC21	route: the incumbent per-ISA table routed REG_VEC21 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z21 and declines below
v22	REG_VEC22	route: the incumbent per-ISA table routed REG_VEC22 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z22 and declines below
v23	REG_VEC23	route: the incumbent per-ISA table routed REG_VEC23 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z23 and declines below
v24	REG_VEC24	route: the incumbent per-ISA table routed REG_VEC24 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z24 and declines below
v25	REG_VEC25	route: the incumbent per-ISA table routed REG_VEC25 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z25 and declines below
v26	REG_VEC26	route: the incumbent per-ISA table routed REG_VEC26 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z26 and declines below
v27	REG_VEC27	route: the incumbent per-ISA table routed REG_VEC27 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z27 and declines below
v28	REG_VEC28	route: the incumbent per-ISA table routed REG_VEC28 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z28 and declines below
v29	REG_VEC29	route: the incumbent per-ISA table routed REG_VEC29 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z29 and declines below
v30	REG_VEC30	route: the incumbent per-ISA table routed REG_VEC30 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z30 and declines below
v31	REG_VEC31	route: the incumbent per-ISA table routed REG_VEC31 through this AdvSIMD name and this preserves the published value exactly; the SVE feature spells the same architectural register z31 and declines below
org.gnu.gdb.aarch64.fpu:fpcr	REG_FCSR	route: the incumbent per-ISA table routed REG_FCSR here, and this preserves the published value exactly; FPCR is the floating-point CONTROL register
org.gnu.gdb.aarch64.fpu:fpsr	REG_FCSR	noroute: FPSR is the floating-point STATUS register and shares REG_FCSR with FPCR; fpcr carries the route

# The AArch64 SVE register file.  QEMU builds this feature in C rather than
# declaring it in an XML file (target/arm/gdbstub64.c,
# arm_gen_dynamic_svereg_feature) because the register WIDTH is the realized
# CPU's vector length; the NAMES are fixed literals and are read out of that
# builder the same way every other register file is read out of its own
# registration site.
#
# SVE and the AdvSIMD FPU feature are MUTUALLY EXCLUSIVE: target/arm/gdbstub.c
# registers the SVE feature INSTEAD of aarch64-fpu.xml when the CPU has SVE,
# "the lower part of each SVE register aliases to the FPU registers so we do
# not need to include both".  So four registers are spelled twice, once by
# each feature, and every one of them keeps the route the incumbent per-ISA
# table gave it -- the AdvSIMD spelling.  That is what makes E1's deletion of
# that table move no published byte.  It also means a value read for these
# four resolves only on a CPU WITHOUT SVE, which is exactly what happened
# before this file carried an SVE row at all.
z0	REG_VEC0	noroute: z0 is the SVE spelling of the same architectural register v0 names, and v0 carries the route
z1	REG_VEC1	noroute: z1 is the SVE spelling of the same architectural register v1 names, and v1 carries the route
z2	REG_VEC2	noroute: z2 is the SVE spelling of the same architectural register v2 names, and v2 carries the route
z3	REG_VEC3	noroute: z3 is the SVE spelling of the same architectural register v3 names, and v3 carries the route
z4	REG_VEC4	noroute: z4 is the SVE spelling of the same architectural register v4 names, and v4 carries the route
z5	REG_VEC5	noroute: z5 is the SVE spelling of the same architectural register v5 names, and v5 carries the route
z6	REG_VEC6	noroute: z6 is the SVE spelling of the same architectural register v6 names, and v6 carries the route
z7	REG_VEC7	noroute: z7 is the SVE spelling of the same architectural register v7 names, and v7 carries the route
z8	REG_VEC8	noroute: z8 is the SVE spelling of the same architectural register v8 names, and v8 carries the route
z9	REG_VEC9	noroute: z9 is the SVE spelling of the same architectural register v9 names, and v9 carries the route
z10	REG_VEC10	noroute: z10 is the SVE spelling of the same architectural register v10 names, and v10 carries the route
z11	REG_VEC11	noroute: z11 is the SVE spelling of the same architectural register v11 names, and v11 carries the route
z12	REG_VEC12	noroute: z12 is the SVE spelling of the same architectural register v12 names, and v12 carries the route
z13	REG_VEC13	noroute: z13 is the SVE spelling of the same architectural register v13 names, and v13 carries the route
z14	REG_VEC14	noroute: z14 is the SVE spelling of the same architectural register v14 names, and v14 carries the route
z15	REG_VEC15	noroute: z15 is the SVE spelling of the same architectural register v15 names, and v15 carries the route
z16	REG_VEC16	noroute: z16 is the SVE spelling of the same architectural register v16 names, and v16 carries the route
z17	REG_VEC17	noroute: z17 is the SVE spelling of the same architectural register v17 names, and v17 carries the route
z18	REG_VEC18	noroute: z18 is the SVE spelling of the same architectural register v18 names, and v18 carries the route
z19	REG_VEC19	noroute: z19 is the SVE spelling of the same architectural register v19 names, and v19 carries the route
z20	REG_VEC20	noroute: z20 is the SVE spelling of the same architectural register v20 names, and v20 carries the route
z21	REG_VEC21	noroute: z21 is the SVE spelling of the same architectural register v21 names, and v21 carries the route
z22	REG_VEC22	noroute: z22 is the SVE spelling of the same architectural register v22 names, and v22 carries the route
z23	REG_VEC23	noroute: z23 is the SVE spelling of the same architectural register v23 names, and v23 carries the route
z24	REG_VEC24	noroute: z24 is the SVE spelling of the same architectural register v24 names, and v24 carries the route
z25	REG_VEC25	noroute: z25 is the SVE spelling of the same architectural register v25 names, and v25 carries the route
z26	REG_VEC26	noroute: z26 is the SVE spelling of the same architectural register v26 names, and v26 carries the route
z27	REG_VEC27	noroute: z27 is the SVE spelling of the same architectural register v27 names, and v27 carries the route
z28	REG_VEC28	noroute: z28 is the SVE spelling of the same architectural register v28 names, and v28 carries the route
z29	REG_VEC29	noroute: z29 is the SVE spelling of the same architectural register v29 names, and v29 carries the route
z30	REG_VEC30	noroute: z30 is the SVE spelling of the same architectural register v30 names, and v30 carries the route
z31	REG_VEC31	noroute: z31 is the SVE spelling of the same architectural register v31 names, and v31 carries the route
p0	REG_PRED0	incumbent: the per-ISA table routed REG_PRED0 through this name; the SVE feature declares the predicate register file
p1	REG_PRED1	incumbent: the per-ISA table routed REG_PRED1 through this name; the SVE feature declares the predicate register file
p2	REG_PRED2	incumbent: the per-ISA table routed REG_PRED2 through this name; the SVE feature declares the predicate register file
p3	REG_PRED3	incumbent: the per-ISA table routed REG_PRED3 through this name; the SVE feature declares the predicate register file
p4	REG_PRED4	incumbent: the per-ISA table routed REG_PRED4 through this name; the SVE feature declares the predicate register file
p5	REG_PRED5	incumbent: the per-ISA table routed REG_PRED5 through this name; the SVE feature declares the predicate register file
p6	REG_PRED6	incumbent: the per-ISA table routed REG_PRED6 through this name; the SVE feature declares the predicate register file
p7	REG_PRED7	incumbent: the per-ISA table routed REG_PRED7 through this name; the SVE feature declares the predicate register file
p8	REG_PRED8	incumbent: the per-ISA table routed REG_PRED8 through this name; the SVE feature declares the predicate register file
p9	REG_PRED9	incumbent: the per-ISA table routed REG_PRED9 through this name; the SVE feature declares the predicate register file
p10	REG_PRED10	incumbent: the per-ISA table routed REG_PRED10 through this name; the SVE feature declares the predicate register file
p11	REG_PRED11	incumbent: the per-ISA table routed REG_PRED11 through this name; the SVE feature declares the predicate register file
p12	REG_PRED12	incumbent: the per-ISA table routed REG_PRED12 through this name; the SVE feature declares the predicate register file
p13	REG_PRED13	incumbent: the per-ISA table routed REG_PRED13 through this name; the SVE feature declares the predicate register file
p14	REG_PRED14	incumbent: the per-ISA table routed REG_PRED14 through this name; the SVE feature declares the predicate register file
p15	REG_PRED15	incumbent: the per-ISA table routed REG_PRED15 through this name; the SVE feature declares the predicate register file
ffr	REG_VCTRL	incumbent: the per-ISA table routed REG_VCTRL through this name; ffr is the SVE first-fault register
org.gnu.gdb.aarch64.sve:fpcr	REG_FCSR	noroute: the same FPCR the AdvSIMD feature declares, which carries the route
org.gnu.gdb.aarch64.sve:fpsr	REG_FCSR	noroute: the same FPSR the AdvSIMD feature declares, and FPSR is the STATUS half of REG_FCSR either way
vg	REG_NONE	vg is a gdb PSEUDO-register: the gdbstub computes it from ZCR at read time (sve_vqm1_for_el, gdbstub64.c case 51) and refuses to set it, so it is not machine state and no instruction names it as a dataflow operand
