# ChampSim Tracer implicit-operand assertion table — aarch64
# Expectations derived from Arm's Machine Readable Architecture (A64 ISA XML); see docs/validator.rst (features.implicit_operands) for provenance and method.
# Generated by tools/implicit_audit.py --mode regenerate; the source / disposition / justification columns are written by hand and carried forward.
# probes 169  rows 320  MISS-BOTH 61  MISS-BOUNDARY 9  MISS-STRUCTURAL 11  NOT-MODELLED 27  OK 212
family	hex	asm	kind	operand	source	expect	weight	disposition	justification
ls64_st64bv0	22a120f8	st64bv0 x0, x2, [x9]	READ	accdata_el1	MRA	MISS-BOTH	0	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
mops_setgp	2004c21d	setgp [x0]!, x1!, x2	READ	nzcv	MRA	MISS-BOTH	0	fix	FEAT_MOPS passes prologue state to the main and epilogue instructions through PSTATE.NZCV; the boundary reports the write and drops the read, so the P->M->E chain of a bulk copy loses its only register edge
mrs_nzcv	00423bd5	mrs x0, nzcv	READ	nzcv	MRA	MISS-BOTH	0	fix	the instruction exists to move this system register and the boundary reports it as neither operand nor implicit register, so the move reads nothing and writes nothing; Capstone renders the system-register field as text only
msr_fpsr	20441bd5	msr fpsr, x0	WRITE	fpsr	MRA	MISS-BOTH	0	fix	the instruction exists to move this system register and the boundary reports it as neither operand nor implicit register, so the move reads nothing and writes nothing; Capstone renders the system-register field as text only
msr_imm_daifset	df4203d5	msr daifset, #0x2	WRITE	pstate.daif	MRA	MISS-BOTH	0	modelling-decision	an execution-mode or interrupt-mask bit of PSTATE, which selects how later instructions behave rather than carrying a value between them
msr_nzcv	00421bd5	msr nzcv, x0	WRITE	nzcv	MRA	MISS-BOTH	0	fix	the instruction exists to move this system register and the boundary reports it as neither operand nor implicit register, so the move reads nothing and writes nothing; Capstone renders the system-register field as text only
msr_spsel	bf4100d5	msr spsel, #0x1	WRITE	pstate.sp	MRA	MISS-BOTH	0	modelling-decision	an execution-mode or interrupt-mask bit of PSTATE, which selects how later instructions behave rather than carrying a value between them
mte_addg	20048191	addg x0, x1, #0x10, #0x1	READ	gcr_el1	MRA+QEMU	MISS-BOTH	0	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
mte_dc_gva	60740bd5	dc gva, x0	READ	dczid_el0	MRA	MISS-BOTH	0	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
mte_dc_gva	60740bd5	dc gva, x0	READ	gcr_el1	MRA	MISS-BOTH	0	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
mte_subg	200481d1	subg x0, x1, #0x10, #0x1	READ	gcr_el1	MRA	MISS-BOTH	0	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
simd_fmla	20cc224e	fmla v0.4s, v1.4s, v2.4s	WRITE	fpsr	MRA	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
simd_sqadd	200ca24e	sqadd v0.4s, v1.4s, v2.4s	READ	fpcr	MRA	MISS-BOTH	0	fix	the boundary reports FPCR on sibling FP forms (FADD, FCMP, SCVTF, FMLA) and not on these, so Capstone's implicit-register table is inconsistent rather than deliberately silent
simd_sqadd	200ca24e	sqadd v0.4s, v1.4s, v2.4s	WRITE	fpsr	MRA	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
sme_smstart	7f4703d5	smstart	WRITE	fpsr	MRA	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
sme_smstart	7f4703d5	smstart	WRITE	pstate.sm	MRA	MISS-BOTH	0	modelling-decision	an execution-mode or interrupt-mask bit of PSTATE, which selects how later instructions behave rather than carrying a value between them
sme_smstart	7f4703d5	smstart	WRITE	pstate.za	MRA	MISS-BOTH	0	modelling-decision	an execution-mode or interrupt-mask bit of PSTATE, which selects how later instructions behave rather than carrying a value between them
sme_smstart	7f4703d5	smstart	WRITE	za	MRA	MISS-BOTH	0	modelling-decision	the tracer's register model has no ZA array, so SMSTART/SMSTOP/ZERO have no destination to name; adding one means adding a register bank, not correcting a decode
sme_smstop	7f4603d5	smstop	WRITE	pstate.sm	MRA	MISS-BOTH	0	modelling-decision	an execution-mode or interrupt-mask bit of PSTATE, which selects how later instructions behave rather than carrying a value between them
sme_smstop	7f4603d5	smstop	WRITE	pstate.za	MRA	MISS-BOTH	0	modelling-decision	an execution-mode or interrupt-mask bit of PSTATE, which selects how later instructions behave rather than carrying a value between them
sme_smstop	7f4603d5	smstop	WRITE	za	MRA	MISS-BOTH	0	modelling-decision	the tracer's register model has no ZA array, so SMSTART/SMSTOP/ZERO have no destination to name; adding one means adding a register bank, not correcting a decode
sme_zero_za	ff0008c0	zero {za}	WRITE	za	MRA	MISS-BOTH	0	modelling-decision	the tracer's register model has no ZA array, so SMSTART/SMSTOP/ZERO have no destination to name; adding one means adding a register bank, not correcting a decode
stxp	610820c8	stxp w0, x1, x2, [x3]	READ	exclusive_monitor	MRA	MISS-BOTH	0	modelling-decision	the exclusive monitor is not a register: it is memory-system state, and a consumer models LL/SC in its memory model rather than as a register dependency
stxp	610820c8	stxp w0, x1, x2, [x3]	WRITE	exclusive_monitor	MRA	MISS-BOTH	0	modelling-decision	the exclusive monitor is not a register: it is memory-system state, and a consumer models LL/SC in its memory model rather than as a register dependency
sve_ctermeq	0020e125	ctermeq x0, x1	READ	nzcv	MRA	MISS-BOTH	0	fix	CTERMEQ preserves NZCV.V and .C from the incoming flags, so it is a read-modify-write of the condition flags; the boundary reports only the write
sve_fadda	2020d865	fadda d0, p0, d0, z1.d	READ	fpcr	MRA	MISS-BOTH	0	fix	the boundary reports FPCR on sibling FP forms (FADD, FCMP, SCVTF, FMLA) and not on these, so Capstone's implicit-register table is inconsistent rather than deliberately silent
sve_fadda	2020d865	fadda d0, p0, d0, z1.d	WRITE	fpsr	MRA	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
sme_addha	002090c0	addha za0.s, p0/m, p1/m, z0.s	READ	za	MRA	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
sme_addha	002090c0	addha za0.s, p0/m, p1/m, z0.s	WRITE	za	MRA	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
sme_ldr_za	000000e1	ldr za[w12, 0], [x0]	READ	w12	MRA+QEMU	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
sme_ldr_za	000000e1	ldr za[w12, 0], [x0]	WRITE	za	MRA+QEMU	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
sme_mova_za	000080c0	mov za0h.s[w12, 0], p0/m, z0.s	READ	w12	MRA	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
sme_mova_za	000080c0	mov za0h.s[w12, 0], p0/m, z0.s	READ	za	MRA	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
sme_mova_za	000080c0	mov za0h.s[w12, 0], p0/m, z0.s	WRITE	za	MRA	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
sme_str_za	000020e1	str za[w12, 0], [x0]	READ	w12	MRA	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
sme_str_za	000020e1	str za[w12, 0], [x0]	READ	za	MRA	MISS-BOUNDARY	0	fix	LLVM names the ZA tile and the W12 slice-index register the SME form selects with; the boundary reports neither, so a ZA access reads and writes nothing at all
simd_zero_upper	2084220e	add v0.8b, v1.8b, v2.8b	WRITE	<vd-upper-zeroed>	MRA+QEMU	MISS-STRUCTURAL	25277484	wont-fix	the upper-half zeroing happens inside a write of the whole architectural vector register, which the boundary already reports; it adds no dataflow edge a consumer could use
casp	827c2048	casp x0, x1, x2, x3, [x4]	READ	<rs+1>	MRA+QEMU	MISS-STRUCTURAL	0	wont-fix	the assembly syntax names both registers of the pair explicitly and the boundary reports both; the token records the architectural pairing, which the operand list already covers
casp	827c2048	casp x0, x1, x2, x3, [x4]	READ	<rt+1>	MRA+QEMU	MISS-STRUCTURAL	0	wont-fix	the assembly syntax names both registers of the pair explicitly and the boundary reports both; the token records the architectural pairing, which the operand list already covers
casp	827c2048	casp x0, x1, x2, x3, [x4]	WRITE	<rs+1>	MRA+QEMU	MISS-STRUCTURAL	0	wont-fix	the assembly syntax names both registers of the pair explicitly and the boundary reports both; the token records the architectural pairing, which the operand list already covers
fp_nep_2src_fsub	2038621e	fsub d0, d1, d2	READ	<src1-upper>	MRA	MISS-STRUCTURAL	0	wont-fix	the FPCR.NEP merge source is the upper half of Vn, and Vn is already a whole-register source in the boundary's read set
ls64_ld64b	20d13ff8	ld64b x0, [x9]	WRITE	<xt+1..xt+7>	MRA	MISS-STRUCTURAL	0	fix	FEAT_LS64 transfers eight consecutive X registers and LLVM enumerates all eight; the boundary reports only Xt, losing seven register operands per access
ls64_st64b	20913ff8	st64b x0, [x9]	READ	<xt+1..xt+7>	MRA	MISS-STRUCTURAL	0	fix	FEAT_LS64 transfers eight consecutive X registers and LLVM enumerates all eight; the boundary reports only Xt, losing seven register operands per access
ls64_st64bv	22b120f8	st64bv x0, x2, [x9]	READ	<xt+1..xt+7>	MRA	MISS-STRUCTURAL	0	fix	FEAT_LS64 transfers eight consecutive X registers and LLVM enumerates all eight; the boundary reports only Xt, losing seven register operands per access
ls64_st64bv0	22a120f8	st64bv0 x0, x2, [x9]	READ	<xt+1..xt+7>	MRA	MISS-STRUCTURAL	0	fix	FEAT_LS64 transfers eight consecutive X registers and LLVM enumerates all eight; the boundary reports only Xt, losing seven register operands per access
lse128_swpp	40802119	swpp x0, x1, [x2]	READ	<rt+1>	MRA	MISS-STRUCTURAL	0	wont-fix	the assembly syntax names both registers of the pair explicitly and the boundary reports both; the token records the architectural pairing, which the operand list already covers
lse128_swpp	40802119	swpp x0, x1, [x2]	WRITE	<rt+1>	MRA	MISS-STRUCTURAL	0	wont-fix	the assembly syntax names both registers of the pair explicitly and the boundary reports both; the token records the architectural pairing, which the operand list already covers
cbz	000000b4	cbz x0, 30 <_start+0x30>	READ	pc	MRA	NOT-MODELLED	367106338	-	-
cbz	000000b4	cbz x0, 30 <_start+0x30>	WRITE	pc	MRA	NOT-MODELLED	367106338	-	-
adrp	00000090	adrp x0, 0 <_start>	READ	pc	MRA	NOT-MODELLED	345994359	-	-
b_cond	00000054	b.eq 28 <_start+0x28>	READ	pc	MRA+QEMU	NOT-MODELLED	262221303	-	-
b_cond	00000054	b.eq 28 <_start+0x28>	WRITE	pc	MRA+QEMU	NOT-MODELLED	262221303	-	-
neg_cbnz	000000b5	cbnz x0, 298 <_start+0x298>	READ	pc	MRA	NOT-MODELLED	177843041	-	-
neg_cbnz	000000b5	cbnz x0, 298 <_start+0x298>	WRITE	pc	MRA	NOT-MODELLED	177843041	-	-
bl	00000094	bl 20 <_start+0x20>	READ	pc	MRA+QEMU	NOT-MODELLED	176260812	-	-
bl	00000094	bl 20 <_start+0x20>	WRITE	pc	MRA+QEMU	NOT-MODELLED	176260812	-	-
b_uncond	00000014	b 24 <_start+0x24>	READ	pc	MRA	NOT-MODELLED	158522568	-	-
b_uncond	00000014	b 24 <_start+0x24>	WRITE	pc	MRA	NOT-MODELLED	158522568	-	-
ret	c0035fd6	ret	WRITE	pc	MRA	NOT-MODELLED	143296939	-	-
tbz	00001836	tbz w0, #3, 34 <_start+0x34>	READ	pc	MRA	NOT-MODELLED	102831573	-	-
tbz	00001836	tbz w0, #3, 34 <_start+0x34>	WRITE	pc	MRA	NOT-MODELLED	102831573	-	-
blr	a0003fd6	blr x5	WRITE	pc	MRA+QEMU	NOT-MODELLED	28774414	-	-
br	a0001fd6	br x5	WRITE	pc	MRA	NOT-MODELLED	20717407	-	-
adr	00000010	adr x0, 38 <_start+0x38>	READ	pc	MRA	NOT-MODELLED	2615404	-	-
bc_cond	10000054	bc.eq 2c <_start+0x2c>	READ	pc	MRA	NOT-MODELLED	0	-	-
bc_cond	10000054	bc.eq 2c <_start+0x2c>	WRITE	pc	MRA	NOT-MODELLED	0	-	-
blraa	a6083fd7	blraa x5, x6	WRITE	pc	MRA	NOT-MODELLED	0	-	-
braa	a6081fd7	braa x5, x6	WRITE	pc	MRA	NOT-MODELLED	0	-	-
eret	e0039fd6	eret	WRITE	pc	MRA+QEMU	NOT-MODELLED	0	-	-
eretaa	ff0b9fd6	eretaa	WRITE	pc	MRA	NOT-MODELLED	0	-	-
ldr_lit	00000058	ldr x0, 40 <_start+0x40>	READ	pc	MRA	NOT-MODELLED	0	-	-
ret_reg	20005fd6	ret x1	WRITE	pc	MRA+QEMU	NOT-MODELLED	0	-	-
retaa	ff0b5fd6	retaa	WRITE	pc	MRA	NOT-MODELLED	0	-	-
retab	ff0f5fd6	retab	WRITE	pc	MRA	NOT-MODELLED	0	-	-
subs_cmp	3f0002eb	cmp x1, x2	WRITE	nzcv	MRA	OK	565470343	-	-
neg_movz	2000a0d2	mov x0, #0x10000	-	-	MRA	OK	325455091	-	-
b_cond	00000054	b.eq 28 <_start+0x28>	READ	nzcv	MRA+QEMU	OK	262221303	-	-
bl	00000094	bl 20 <_start+0x20>	WRITE	x30	MRA+QEMU	OK	176260812	-	-
ret	c0035fd6	ret	READ	x30	MRA	OK	143296939	-	-
stp_pre_sp	fd7bbfa9	stp x29, x30, [sp, #-16]!	READ	sp	MRA	OK	138440090	-	-
stp_pre_sp	fd7bbfa9	stp x29, x30, [sp, #-16]!	READ	x30	MRA	OK	138440090	-	-
stp_pre_sp	fd7bbfa9	stp x29, x30, [sp, #-16]!	WRITE	<base-wb>	MRA	OK	138440090	-	-
stp_pre_sp	fd7bbfa9	stp x29, x30, [sp, #-16]!	WRITE	sp	MRA	OK	138440090	-	-
ldp_post_sp	e007c1a8	ldp x0, x1, [sp], #16	READ	sp	MRA	OK	93419676	-	-
ldp_post_sp	e007c1a8	ldp x0, x1, [sp], #16	WRITE	<base-wb>	MRA	OK	93419676	-	-
ldp_post_sp	e007c1a8	ldp x0, x1, [sp], #16	WRITE	sp	MRA	OK	93419676	-	-
adds	200002ab	adds x0, x1, x2	WRITE	nzcv	MRA	OK	53420057	-	-
movk	2000a0f2	movk x0, #0x1, lsl #16	READ	<tied-dst>	MRA+QEMU	OK	29103239	-	-
blr	a0003fd6	blr x5	WRITE	x30	MRA+QEMU	OK	28774414	-	-
sub_sp_imm	ff4300d1	sub sp, sp, #0x10	READ	sp	MRA	OK	28477334	-	-
sub_sp_imm	ff4300d1	sub sp, sp, #0x10	WRITE	sp	MRA	OK	28477334	-	-
hint_nop	1f2003d5	nop	-	-	MRA	OK	23701143	-	-
stp_no_wb	400400a9	stp x0, x1, [x2]	-	-	MRA	OK	19516162	-	-
ands_tst	3f0002ea	tst x1, x2	WRITE	nzcv	MRA	OK	18894057	-	-
add_sp_imm	ff430091	add sp, sp, #0x10	READ	sp	MRA	OK	12869911	-	-
add_sp_imm	ff430091	add sp, sp, #0x10	WRITE	sp	MRA	OK	12869911	-	-
fp_fmov_g2f	0000679e	fmov d0, x0	-	-	MRA	OK	8445169	-	-
ldr_sp_base	e00340f9	ldr x0, [sp]	READ	sp	MRA	OK	5927969	-	-
ccmp_reg	200042fa	ccmp x1, x2, #0x0, eq	READ	nzcv	MRA	OK	5071509	-	-
ccmp_reg	200042fa	ccmp x1, x2, #0x0, eq	WRITE	nzcv	MRA	OK	5071509	-	-
csinc_cset	e0179f9a	cset x0, eq	READ	nzcv	MRA	OK	4727841	-	-
mops_cpye	4004811d	cpye [x0]!, [x1]!, x2!	READ	<tied-dst>	MRA	OK	3209184	-	-
mops_cpye	4004811d	cpye [x0]!, [x1]!, x2!	READ	nzcv	MRA	OK	3209184	-	-
mops_cpye	4004811d	cpye [x0]!, [x1]!, x2!	WRITE	x0	MRA	OK	3209184	-	-
mops_cpye	4004811d	cpye [x0]!, [x1]!, x2!	WRITE	x1	MRA	OK	3209184	-	-
mops_cpye	4004811d	cpye [x0]!, [x1]!, x2!	WRITE	x2	MRA	OK	3209184	-	-
mops_cpym	4004411d	cpym [x0]!, [x1]!, x2!	READ	<tied-dst>	MRA	OK	3209184	-	-
mops_cpym	4004411d	cpym [x0]!, [x1]!, x2!	READ	nzcv	MRA	OK	3209184	-	-
mops_cpym	4004411d	cpym [x0]!, [x1]!, x2!	WRITE	x0	MRA	OK	3209184	-	-
mops_cpym	4004411d	cpym [x0]!, [x1]!, x2!	WRITE	x1	MRA	OK	3209184	-	-
mops_cpym	4004411d	cpym [x0]!, [x1]!, x2!	WRITE	x2	MRA	OK	3209184	-	-
mops_cpyp	4004011d	cpyp [x0]!, [x1]!, x2!	READ	<tied-dst>	MRA	OK	3209184	-	-
mops_cpyp	4004011d	cpyp [x0]!, [x1]!, x2!	WRITE	nzcv	MRA	OK	3209184	-	-
mops_cpyp	4004011d	cpyp [x0]!, [x1]!, x2!	WRITE	x0	MRA	OK	3209184	-	-
mops_cpyp	4004011d	cpyp [x0]!, [x1]!, x2!	WRITE	x1	MRA	OK	3209184	-	-
mops_cpyp	4004011d	cpyp [x0]!, [x1]!, x2!	WRITE	x2	MRA	OK	3209184	-	-
csel	2000829a	csel x0, x1, x2, eq	READ	nzcv	MRA	OK	3153859	-	-
mops_sete	2084c219	sete [x0]!, x1!, x2	READ	<tied-dst>	MRA	OK	1724716	-	-
mops_sete	2084c219	sete [x0]!, x1!, x2	READ	nzcv	MRA	OK	1724716	-	-
mops_sete	2084c219	sete [x0]!, x1!, x2	WRITE	x0	MRA	OK	1724716	-	-
mops_sete	2084c219	sete [x0]!, x1!, x2	WRITE	x1	MRA	OK	1724716	-	-
mops_setm	2044c219	setm [x0]!, x1!, x2	READ	<tied-dst>	MRA	OK	1724716	-	-
mops_setm	2044c219	setm [x0]!, x1!, x2	READ	nzcv	MRA	OK	1724716	-	-
mops_setm	2044c219	setm [x0]!, x1!, x2	WRITE	x0	MRA	OK	1724716	-	-
mops_setm	2044c219	setm [x0]!, x1!, x2	WRITE	x1	MRA	OK	1724716	-	-
mops_setp	2004c219	setp [x0]!, x1!, x2	READ	<tied-dst>	MRA	OK	1724716	-	-
mops_setp	2004c219	setp [x0]!, x1!, x2	WRITE	nzcv	MRA	OK	1724716	-	-
